,lat,lng,z_score_lat,z_score_lng
0,28.56211,77.1212,0.9737925759913998,0.745849548188815
1,28.5619,77.12126,0.96899547277937,0.7480936437820894
2,28.5619,77.12126,0.96899547277937,0.7480936437820894
3,28.56191,77.12125,0.9692239062656494,0.7477196278497884
4,28.56191,77.12125,0.9692239062656494,0.7477196278497884
5,28.56191,77.12126,0.9692239062656494,0.7480936437820894
6,28.56193,77.12126,0.9696807732382082,0.7480936437820894
7,28.56186,77.12121,0.9680817388341713,0.746223564121116
8,28.56176,77.12123,0.9657974039712961,0.7469715959851865
9,28.56173,77.12141,0.9651121035124579,0.7537038827644781
10,28.56186,77.1216,0.9680817388341713,0.7608101854760707
11,28.56211,77.1218,0.9737925759913998,0.7682905041194329
12,28.5625,77.1221,0.982701481956621,0.7795109820852734
13,28.56288,77.12233,0.9913819544355629,0.7881133485255384
14,28.56308,77.12223,0.9959506241613133,0.7843731892035916
15,28.56323,77.12238,0.9993771264556666,0.7899834281865118
16,28.56336,77.12281,1.00234676177738,0.806066113270139
17,28.56368,77.12281,1.0096566333386454,0.806066113270139
18,28.56408,77.12273,1.018793972790146,0.8030739858127942
19,28.56455,77.12265,1.0295303466456838,0.8000818583549179
20,28.56498,77.12253,1.0393529865560227,0.7955936671689006
21,28.56513,77.12251,1.042779488850376,0.7948456353048301
22,28.56544,77.12248,1.049860926925281,0.7937235875079272
23,28.56581,77.1224,1.0583129659179433,0.7907314600505823
24,28.56605,77.12235,1.0637953695888924,0.7888613803896088
25,28.56621,77.12226,1.0674503053695252,0.785495236999963
26,28.56628,77.12218,1.069049339773481,0.7825031095426181
27,28.56643,77.12205,1.0724758420678344,0.7776409024243
28,28.56653,77.12215,1.0747601769307096,0.7813810617462468
29,28.56655,77.1223,1.0752170439032684,0.7869913007286354
30,28.56656,77.12329,1.0754454773895477,0.8240188780147396
31,28.56671,77.1263,1.078871979683901,0.9365976736017245
32,28.56681,77.12696,1.0811563145467762,0.9612827251256169
33,28.567,77.12738,1.0854965507862473,0.9769913942774745
34,28.56718,77.12776,1.0896083535394387,0.9912039997001283
35,28.56736,77.12813,1.0937201562926302,1.0050425891910126
36,28.56748,77.1285,1.0964613581280642,1.018881178681897
37,28.56768,77.12898,1.1010300278538145,1.0368339434264975
38,28.56796,77.12961,1.1074261654698814,1.0603969471540184
39,28.56818,77.13011,1.1124517021682716,1.079097743763221
40,28.56841,77.13061,1.1177056723528602,1.0977985403724235
41,28.56868,77.13123,1.1238733764826474,1.1209875281676434
42,28.56895,77.1318,1.1300410806124348,1.1423064363018898
43,28.56921,77.13226,1.1359803512559428,1.15951116918242
44,28.57003,77.13345,1.154711897131503,1.2040190651118863
45,28.57018,77.13368,1.1581383994258563,1.2126214315521513
46,28.57036,77.13396,1.1622502021790477,1.22309387765339
47,28.57041,77.13411,1.1633923696104447,1.22870411663631
48,28.57048,77.1345,1.1649914040144818,1.2432907379912648
49,28.57038,77.1347,1.1627070691516066,1.250771056634627
50,28.57013,77.13473,1.156996231994378,1.25189310443153
51,28.5697,77.13453,1.1471735920840391,1.2444127857876364
52,28.56914,77.13441,1.1343813168519057,1.239924594601619
53,28.56856,77.13435,1.1211321746472134,1.2376804990083445
54,28.56786,77.1344,1.1051418306070062,1.239550578669318
